year,season,program,trips,sets,hooks,totalTurts,CC
2006,1,1,0,0,0,0,0
2006,2,1,12,201,204000,3,2
2006,1,2,0,0,0,0,0
2006,2,2,1.57,27,40606,7,7
2007,1,1,5,55,112925,4,4
2007,2,1,6,139,127075,3,2
2007,1,2,5,99,113311,0,0
2007,2,2,3.91,79,85793,1,1
2008,1,1,1,15,18000,3,2
2008,2,1,2,46,34600,0,0
2008,1,2,4.52,96,117960,0,0
2008,2,2,1,19,22348,0,0
2009,1,1,33.0666024726087,544,645672,0,0
2009,2,1,0,0,0,0,0
2009,1,2,3.61006494547967,70,85952,6,6
2009,2,2,0,0,0,0,0
2010,1,1,21.2,520,253086,1,1
2010,2,1,26,748,452454,2,2
2010,1,2,16,421,258869,0,0
2010,2,2,5,123,73592,0,0
2011,1,1,60.8,1777,1698219,2,2
2011,2,1,16.9,431,410100,2,2
2011,1,2,2,58,35182,0,0
2011,2,2,8,167,120005,1,1
2012,1,1,10,344,233537,0,0
2012,2,1,7,154,97791,0,0
2012,1,2,12,323,208509,3,3
2012,2,2,7,175,119088,0,0
2013,1,1,32.8,842,572595,1,1
2013,2,1,46.2,1249,875634,1,1
2013,1,2,0,0,0,0,0
2013,2,2,0,0,0,0,0
2014,1,1,18,537,369145,0,0
2014,2,1,8,295,216113,0,0
2014,1,2,0,0,0,0,0
2014,2,2,0,0,0,0,0
2015,1,1,13.3,340,232709,2,2
2015,2,1,10.7,329,223841,0,0
2015,1,2,0,0,0,0,0
2015,2,2,0,0,0,0,0
2016,1,1,25.4,788,529939,0,0
2016,2,1,19.32,605,431976,1,1
2016,1,2,0,0,0,0,0
2016,2,2,4,111,77382,1,1
2017,1,1,6.95,193,127612,0,0
2017,2,1,4.9,171,119897,1,1
2017,1,2,5,127,87240,1,1
2017,2,2,2,50,35063,0,0
2018,1,1,2.95,104,71908,0,0
2018,2,1,1,34,23707,0,0
2018,1,2,1,36,18964,1,1
2018,2,2,0,0,0,0,0
2019,1,1,2.89,90,59618,0,0
2019,2,1,2,59,40287,0,0
2019,1,2,0,0,0,0,0
2019,2,2,2,61,39347,0,0
2020,1,1,0,0,0,0,0
2020,2,1,0.57,8,7490,0,0
2020,1,2,1,26,43299,0,0
2020,2,2,0,0,0,0,0
