year,season,Trip,set,hooks,species,numb,prog,EorW,cpue
2006,2,1,1,2077,1,1,2,1,0.48146365
2006,2,1,5,1815,1,1,2,1,0.55096419
2006,2,1,6,754,1,1,2,1,1.3262599
2006,2,1,11,1981,1,1,2,1,0.50479556
2006,2,1,17,1929,1,2,2,1,1.0368066
2006,2,1,21,1964,1,1,2,1,0.50916497
2006,2,66,22,1433,0,0,2,1,0
2006,2,66,23,1433,0,0,2,1,0
2006,2,66,24,1433,0,0,2,1,0
2006,2,66,25,1433,0,0,2,1,0
2006,2,66,26,1433,0,0,2,1,0
2006,2,66,27,1433,0,0,2,1,0
2006,2,66,28,1433,0,0,2,1,0
2006,2,66,29,1433,0,0,2,1,0
2006,2,66,30,1433,0,0,2,1,0
2006,2,66,31,1433,0,0,2,1,0
2006,2,66,32,1433,0,0,2,1,0
2006,2,66,33,1433,0,0,2,1,0
2006,2,66,34,1433,0,0,2,1,0
2006,2,66,35,1433,0,0,2,1,0
2006,2,66,36,1433,0,0,2,1,0
2006,2,66,37,1433,0,0,2,1,0
2006,2,66,38,1433,0,0,2,1,0
2006,2,66,39,1433,0,0,2,1,0
2006,2,66,40,1433,0,0,2,1,0
2006,2,66,41,1433,0,0,2,1,0
2006,2,66,42,1433,0,0,2,1,0
