year,season,Trip,set,hooks,species,Numb,program,EorW,CPUE(per 1k hooks)
2006,2,2,5,1500,1,1,1,1,0.666666666666667
2006,2,3,1,1400,1,1,1,1,0.714285714285714
2006,2,3,1,1400,2,1,1,1,0.714285714285714
2006,2,1,1,2077,1,1,2,1,0.481463649494463
2006,2,1,5,1815,1,1,2,1,0.550964187327824
2006,2,1,6,754,1,1,2,1,1.3262599469496
2006,2,1,11,1981,1,1,2,1,0.504795557799091
2006,2,1,17,1929,1,2,2,1,1.03680663556247
2006,2,1,21,1964,1,1,2,1,0.509164969450102
2007,1,4,1,2400,1,1,1,1,0.416666666666667
2007,1,5,4,2500,1,1,1,1,0.4
2007,1,5,5,2500,1,1,1,1,0.4
2007,1,5,16,2500,1,1,1,1,0.4
2007,2,6,8,1475,1,1,1,1,0.677966101694915
2007,2,6,15,1475,1,1,1,1,0.677966101694915
2007,2,7,7,650,2,1,1,1,1.53846153846154
2007,2,8,3,1100,1,1,2,1,0.909090909090909
2008,1,9,43,800,1,1,3,1,1.25
2008,1,9,49,800,1,1,3,1,1.25
2008,1,10,13,700,2,1,3,1,1.42857142857143
2009,1,1,1,1730,1,1,2,1,0.578034682080925
2009,1,2,1,1730,1,1,2,1,0.578034682080925
2009,1,2,2,1730,1,1,2,1,0.578034682080925
2009,1,2,3,1730,1,1,2,1,0.578034682080925
2009,1,2,4,1730,1,1,2,1,0.578034682080925
2009,1,2,5,1730,1,1,2,1,0.578034682080925
2010,1,1,1,642,1,1,1,1,1.55763239875389
2010,2,2,1,571,1,1,1,1,1.75131348511384
2010,2,3,1,713,1,1,1,1,1.40252454417952
2011,1,1,1,1000,1,1,1,1,1
2011,1,2,1,1000,1,1,1,1,1
2011,2,1,1,1000,1,1,1,1,1
2011,2,2,1,1000,1,1,1,1,1
2011,2,1,1,750,1,1,2,1,1.33333333333333
2012,1,1,1,742,1,1,2,1,1.34770889487871
2012,1,2,1,624,1,1,2,1,1.6025641025641
2012,1,3,1,648,1,1,2,1,1.54320987654321
2013,1,1,1,1000,1,1,1,1,1
2013,2,1,1,1000,1,1,1,1,1
2015,1,1,1,750,1,1,1,1,1.33333333333333
2015,1,2,1,700,1,1,1,1,1.42857142857143
2016,2,2,1,703,1,1,1,1,1.42247510668563
2016,2,1,1,710,1,1,2,1,1.40845070422535
2017,1,1,1,727,1,1,2,1,1.37551581843191
2017,2,1,1,698,1,1,1,1,1.43266475644699
2018,1,1,1,523,1,1,2,1,1.91204588910134
