,year,season,Trip,set,hooks,species,Numb,program,EorW,CPUE(per 1k hooks)
0,2006.0,2.0,2.0,5.0,1500.0,1.0,1.0,1.0,1.0,0.666666666666667
1,2006.0,2.0,3.0,1.0,1400.0,1.0,1.0,1.0,1.0,0.714285714285714
2,2006.0,2.0,3.0,1.0,1400.0,2.0,1.0,1.0,1.0,0.714285714285714
3,2006.0,2.0,13.0,6.0,1008.0,0.0,0.0,1.0,1.0,0.0
4,2006.0,2.0,13.0,7.0,1008.0,0.0,0.0,1.0,1.0,0.0
5,2006.0,2.0,13.0,8.0,1008.0,0.0,0.0,1.0,1.0,0.0
6,2006.0,2.0,13.0,9.0,1008.0,0.0,0.0,1.0,1.0,0.0
7,2006.0,2.0,13.0,10.0,1008.0,0.0,0.0,1.0,1.0,0.0
8,2006.0,2.0,13.0,11.0,1008.0,0.0,0.0,1.0,1.0,0.0
9,2006.0,2.0,13.0,12.0,1008.0,0.0,0.0,1.0,1.0,0.0
10,2006.0,2.0,13.0,13.0,1008.0,0.0,0.0,1.0,1.0,0.0
11,2006.0,2.0,13.0,14.0,1008.0,0.0,0.0,1.0,1.0,0.0
12,2006.0,2.0,13.0,15.0,1008.0,0.0,0.0,1.0,1.0,0.0
13,2006.0,2.0,13.0,16.0,1008.0,0.0,0.0,1.0,1.0,0.0
14,2006.0,2.0,13.0,17.0,1008.0,0.0,0.0,1.0,1.0,0.0
15,2006.0,2.0,13.0,18.0,1008.0,0.0,0.0,1.0,1.0,0.0
16,2006.0,2.0,13.0,19.0,1008.0,0.0,0.0,1.0,1.0,0.0
17,2006.0,2.0,13.0,20.0,1008.0,0.0,0.0,1.0,1.0,0.0
18,2006.0,2.0,13.0,21.0,1008.0,0.0,0.0,1.0,1.0,0.0
19,2006.0,2.0,13.0,22.0,1008.0,0.0,0.0,1.0,1.0,0.0
20,2006.0,2.0,13.0,23.0,1008.0,0.0,0.0,1.0,1.0,0.0
21,2006.0,2.0,13.0,24.0,1008.0,0.0,0.0,1.0,1.0,0.0
22,2006.0,2.0,13.0,25.0,1008.0,0.0,0.0,1.0,1.0,0.0
23,2006.0,2.0,13.0,26.0,1008.0,0.0,0.0,1.0,1.0,0.0
24,2006.0,2.0,13.0,27.0,1008.0,0.0,0.0,1.0,1.0,0.0
25,2006.0,2.0,13.0,28.0,1008.0,0.0,0.0,1.0,1.0,0.0
26,2006.0,2.0,13.0,29.0,1008.0,0.0,0.0,1.0,1.0,0.0
27,2006.0,2.0,13.0,30.0,1008.0,0.0,0.0,1.0,1.0,0.0
28,2006.0,2.0,13.0,31.0,1008.0,0.0,0.0,1.0,1.0,0.0
29,2006.0,2.0,13.0,32.0,1008.0,0.0,0.0,1.0,1.0,0.0
30,2006.0,2.0,13.0,33.0,1008.0,0.0,0.0,1.0,1.0,0.0
31,2006.0,2.0,13.0,34.0,1008.0,0.0,0.0,1.0,1.0,0.0
32,2006.0,2.0,13.0,35.0,1008.0,0.0,0.0,1.0,1.0,0.0
33,2006.0,2.0,13.0,36.0,1008.0,0.0,0.0,1.0,1.0,0.0
34,2006.0,2.0,13.0,37.0,1008.0,0.0,0.0,1.0,1.0,0.0
35,2006.0,2.0,13.0,38.0,1008.0,0.0,0.0,1.0,1.0,0.0
36,2006.0,2.0,13.0,39.0,1008.0,0.0,0.0,1.0,1.0,0.0
37,2006.0,2.0,13.0,40.0,1008.0,0.0,0.0,1.0,1.0,0.0
38,2006.0,2.0,13.0,41.0,1008.0,0.0,0.0,1.0,1.0,0.0
39,2006.0,2.0,13.0,42.0,1008.0,0.0,0.0,1.0,1.0,0.0
40,2006.0,2.0,13.0,43.0,1008.0,0.0,0.0,1.0,1.0,0.0
41,2006.0,2.0,13.0,44.0,1008.0,0.0,0.0,1.0,1.0,0.0
42,2006.0,2.0,13.0,45.0,1008.0,0.0,0.0,1.0,1.0,0.0
43,2006.0,2.0,13.0,46.0,1008.0,0.0,0.0,1.0,1.0,0.0
44,2006.0,2.0,13.0,47.0,1008.0,0.0,0.0,1.0,1.0,0.0
45,2006.0,2.0,13.0,48.0,1008.0,0.0,0.0,1.0,1.0,0.0
46,2006.0,2.0,13.0,49.0,1008.0,0.0,0.0,1.0,1.0,0.0
47,2006.0,2.0,13.0,50.0,1008.0,0.0,0.0,1.0,1.0,0.0
48,2006.0,2.0,13.0,51.0,1008.0,0.0,0.0,1.0,1.0,0.0
49,2006.0,2.0,13.0,52.0,1008.0,0.0,0.0,1.0,1.0,0.0
50,2006.0,2.0,13.0,53.0,1008.0,0.0,0.0,1.0,1.0,0.0
51,2006.0,2.0,13.0,54.0,1008.0,0.0,0.0,1.0,1.0,0.0
52,2006.0,2.0,13.0,55.0,1008.0,0.0,0.0,1.0,1.0,0.0
53,2006.0,2.0,13.0,56.0,1008.0,0.0,0.0,1.0,1.0,0.0
54,2006.0,2.0,13.0,57.0,1008.0,0.0,0.0,1.0,1.0,0.0
55,2006.0,2.0,13.0,58.0,1008.0,0.0,0.0,1.0,1.0,0.0
56,2006.0,2.0,13.0,59.0,1008.0,0.0,0.0,1.0,1.0,0.0
57,2006.0,2.0,13.0,60.0,1008.0,0.0,0.0,1.0,1.0,0.0
58,2006.0,2.0,13.0,61.0,1008.0,0.0,0.0,1.0,1.0,0.0
59,2006.0,2.0,13.0,62.0,1008.0,0.0,0.0,1.0,1.0,0.0
60,2006.0,2.0,13.0,63.0,1008.0,0.0,0.0,1.0,1.0,0.0
61,2006.0,2.0,13.0,64.0,1008.0,0.0,0.0,1.0,1.0,0.0
62,2006.0,2.0,13.0,65.0,1008.0,0.0,0.0,1.0,1.0,0.0
63,2006.0,2.0,13.0,66.0,1008.0,0.0,0.0,1.0,1.0,0.0
64,2006.0,2.0,13.0,67.0,1008.0,0.0,0.0,1.0,1.0,0.0
65,2006.0,2.0,13.0,68.0,1008.0,0.0,0.0,1.0,1.0,0.0
66,2006.0,2.0,13.0,69.0,1008.0,0.0,0.0,1.0,1.0,0.0
67,2006.0,2.0,13.0,70.0,1008.0,0.0,0.0,1.0,1.0,0.0
68,2006.0,2.0,13.0,71.0,1008.0,0.0,0.0,1.0,1.0,0.0
69,2006.0,2.0,13.0,72.0,1008.0,0.0,0.0,1.0,1.0,0.0
70,2006.0,2.0,13.0,73.0,1008.0,0.0,0.0,1.0,1.0,0.0
71,2006.0,2.0,13.0,74.0,1008.0,0.0,0.0,1.0,1.0,0.0
72,2006.0,2.0,13.0,75.0,1008.0,0.0,0.0,1.0,1.0,0.0
73,2006.0,2.0,13.0,76.0,1008.0,0.0,0.0,1.0,1.0,0.0
74,2006.0,2.0,13.0,77.0,1008.0,0.0,0.0,1.0,1.0,0.0
75,2006.0,2.0,13.0,78.0,1008.0,0.0,0.0,1.0,1.0,0.0
76,2006.0,2.0,13.0,79.0,1008.0,0.0,0.0,1.0,1.0,0.0
77,2006.0,2.0,13.0,80.0,1008.0,0.0,0.0,1.0,1.0,0.0
78,2006.0,2.0,13.0,81.0,1008.0,0.0,0.0,1.0,1.0,0.0
79,2006.0,2.0,13.0,82.0,1008.0,0.0,0.0,1.0,1.0,0.0
80,2006.0,2.0,13.0,83.0,1008.0,0.0,0.0,1.0,1.0,0.0
81,2006.0,2.0,13.0,84.0,1008.0,0.0,0.0,1.0,1.0,0.0
82,2006.0,2.0,13.0,85.0,1008.0,0.0,0.0,1.0,1.0,0.0
83,2006.0,2.0,13.0,86.0,1008.0,0.0,0.0,1.0,1.0,0.0
84,2006.0,2.0,13.0,87.0,1008.0,0.0,0.0,1.0,1.0,0.0
85,2006.0,2.0,13.0,88.0,1008.0,0.0,0.0,1.0,1.0,0.0
86,2006.0,2.0,13.0,89.0,1008.0,0.0,0.0,1.0,1.0,0.0
87,2006.0,2.0,13.0,90.0,1008.0,0.0,0.0,1.0,1.0,0.0
88,2006.0,2.0,13.0,91.0,1008.0,0.0,0.0,1.0,1.0,0.0
89,2006.0,2.0,13.0,92.0,1008.0,0.0,0.0,1.0,1.0,0.0
90,2006.0,2.0,13.0,93.0,1008.0,0.0,0.0,1.0,1.0,0.0
91,2006.0,2.0,13.0,94.0,1008.0,0.0,0.0,1.0,1.0,0.0
92,2006.0,2.0,13.0,95.0,1008.0,0.0,0.0,1.0,1.0,0.0
93,2006.0,2.0,13.0,96.0,1008.0,0.0,0.0,1.0,1.0,0.0
94,2006.0,2.0,13.0,97.0,1008.0,0.0,0.0,1.0,1.0,0.0
95,2006.0,2.0,13.0,98.0,1008.0,0.0,0.0,1.0,1.0,0.0
96,2006.0,2.0,13.0,99.0,1008.0,0.0,0.0,1.0,1.0,0.0
97,2006.0,2.0,13.0,100.0,1008.0,0.0,0.0,1.0,1.0,0.0
98,2006.0,2.0,13.0,101.0,1008.0,0.0,0.0,1.0,1.0,0.0
99,2006.0,2.0,13.0,102.0,1008.0,0.0,0.0,1.0,1.0,0.0
100,2006.0,2.0,13.0,103.0,1008.0,0.0,0.0,1.0,1.0,0.0
101,2006.0,2.0,13.0,104.0,1008.0,0.0,0.0,1.0,1.0,0.0
102,2006.0,2.0,13.0,105.0,1008.0,0.0,0.0,1.0,1.0,0.0
103,2006.0,2.0,13.0,106.0,1008.0,0.0,0.0,1.0,1.0,0.0
104,2006.0,2.0,13.0,107.0,1008.0,0.0,0.0,1.0,1.0,0.0
105,2006.0,2.0,13.0,108.0,1008.0,0.0,0.0,1.0,1.0,0.0
106,2006.0,2.0,13.0,109.0,1008.0,0.0,0.0,1.0,1.0,0.0
